transaction_id,customer_id,order_id,amount,refund_amount,discount_amount,discount_count,payment_status,payment_attempts,expected_settlement,actual_settlement
TXN001,C001,ORD001,5000,0,500,1,success,1,4500,4500
TXN002,C002,ORD002,8000,7000,0,0,success,1,1000,1000
TXN003,C003,ORD003,12000,11000,0,0,success,1,1000,1000
TXN004,C004,ORD004,6000,500,2500,3,success,1,3000,3000
TXN005,C005,ORD005,9000,0,4000,4,success,1,5000,5000
TXN006,C006,ORD006,7500,0,0,0,failed,4,7500,0
TXN007,C006,ORD007,7500,0,0,0,failed,5,7500,0
TXN008,C007,ORD008,10000,0,1000,1,success,1,9000,8700
TXN009,C008,ORD009,15000,0,1000,1,success,1,14000,13700
TXN010,C009,ORD010,4500,0,500,1,success,1,4000,4000
TXN011,C010,ORD011,3000,2900,0,0,success,1,100,100
TXN012,C011,ORD012,20000,0,2000,1,success,1,18000,18000
TXN013,C012,ORD013,11000,0,5500,4,success,1,5500,5500
TXN014,C013,ORD014,6500,0,500,1,failed,3,6500,0
TXN015,C014,ORD015,7000,0,700,1,success,1,6300,6000
